 ,mixture_ID,mixture_path,source_1_path,source_2_path,noise_path,length
Data 1 Target1No 10Cycle No 10Group Depth1000m_Data 2 Target2No 9Cycle No 19Group Depth1300m.wav,Data 1 Target1No 10Cycle No 10Group Depth1000m_Data 2 Target2No 9Cycle No 19Group Depth1300m,D:\Codes/Asteroid\Sanya\train\mix_both\Data 1 Target1No 10Cycle No 10Group Depth1000m_Data 2 Target2No 9Cycle No 19Group Depth1300m.wav,D:\Codes\Asteroid\Sanya\train\s1\Data 1 Target1No 10Cycle No 10Group Depth1000m.wav,D:\Codes\Asteroid\Sanya\train\s2\Data 2 Target2No 9Cycle No 19Group Depth1300m.wav,D:\Codes/Asteroid\Sanya\train\noise\noise658.wav,58749
Data 1 Target1No 10Cycle No 10Group Depth1300m_Data 2 Target2No 2Cycle No 16Group Depth900m.wav,Data 1 Target1No 10Cycle No 10Group Depth1300m_Data 2 Target2No 2Cycle No 16Group Depth900m,D:\Codes/Asteroid\Sanya\train\mix_both\Data 1 Target1No 10Cycle No 10Group Depth1300m_Data 2 Target2No 2Cycle No 16Group Depth900m.wav,D:\Codes\Asteroid\Sanya\train\s1\Data 1 Target1No 10Cycle No 10Group Depth1300m.wav,D:\Codes\Asteroid\Sanya\train\s2\Data 2 Target2No 2Cycle No 16Group Depth900m.wav,D:\Codes/Asteroid\Sanya\train\noise\noise585.wav,58750
Data 1 Target1No 10Cycle No 10Group Depth1400m_Data 2 Target2No 8Cycle No 21Group Depth300m.wav,Data 1 Target1No 10Cycle No 10Group Depth1400m_Data 2 Target2No 8Cycle No 21Group Depth300m,D:\Codes/Asteroid\Sanya\train\mix_both\Data 1 Target1No 10Cycle No 10Group Depth1400m_Data 2 Target2No 8Cycle No 21Group Depth300m.wav,D:\Codes\Asteroid\Sanya\train\s1\Data 1 Target1No 10Cycle No 10Group Depth1400m.wav,D:\Codes\Asteroid\Sanya\train\s2\Data 2 Target2No 8Cycle No 21Group Depth300m.wav,D:\Codes/Asteroid\Sanya\train\noise\noise981.wav,58750
Data 1 Target1No 10Cycle No 10Group Depth1500m_Data 2 Target2No 4Cycle No 14Group Depth1500m.wav,Data 1 Target1No 10Cycle No 10Group Depth1500m_Data 2 Target2No 4Cycle No 14Group Depth1500m,D:\Codes/Asteroid\Sanya\train\mix_both\Data 1 Target1No 10Cycle No 10Group Depth1500m_Data 2 Target2No 4Cycle No 14Group Depth1500m.wav,D:\Codes\Asteroid\Sanya\train\s1\Data 1 Target1No 10Cycle No 10Group Depth1500m.wav,D:\Codes\Asteroid\Sanya\train\s2\Data 2 Target2No 4Cycle No 14Group Depth1500m.wav,D:\Codes/Asteroid\Sanya\train\noise\noise535.wav,58750
Data 1 Target1No 10Cycle No 10Group Depth1500m_Data 2 Target2No 4Cycle No 2Group Depth400m.wav,Data 1 Target1No 10Cycle No 10Group Depth1500m_Data 2 Target2No 4Cycle No 2Group Depth400m,D:\Codes/Asteroid\Sanya\train\mix_both\Data 1 Target1No 10Cycle No 10Group Depth1500m_Data 2 Target2No 4Cycle No 2Group Depth400m.wav,D:\Codes\Asteroid\Sanya\train\s1\Data 1 Target1No 10Cycle No 10Group Depth1500m.wav,D:\Codes\Asteroid\Sanya\train\s2\Data 2 Target2No 4Cycle No 2Group Depth400m.wav,D:\Codes/Asteroid\Sanya\train\noise\noise1508.wav,58750
Data 1 Target1No 10Cycle No 10Group Depth200m_Data 2 Target2No 4Cycle No 10Group Depth200m.wav,Data 1 Target1No 10Cycle No 10Group Depth200m_Data 2 Target2No 4Cycle No 10Group Depth200m,D:\Codes/Asteroid\Sanya\train\mix_both\Data 1 Target1No 10Cycle No 10Group Depth200m_Data 2 Target2No 4Cycle No 10Group Depth200m.wav,D:\Codes\Asteroid\Sanya\train\s1\Data 1 Target1No 10Cycle No 10Group Depth200m.wav,D:\Codes\Asteroid\Sanya\train\s2\Data 2 Target2No 4Cycle No 10Group Depth200m.wav,D:\Codes/Asteroid\Sanya\train\noise\noise1665.wav,58750
Data 1 Target1No 10Cycle No 10Group Depth400m_Data 2 Target2No 6Cycle No 14Group Depth900m.wav,Data 1 Target1No 10Cycle No 10Group Depth400m_Data 2 Target2No 6Cycle No 14Group Depth900m,D:\Codes/Asteroid\Sanya\train\mix_both\Data 1 Target1No 10Cycle No 10Group Depth400m_Data 2 Target2No 6Cycle No 14Group Depth900m.wav,D:\Codes\Asteroid\Sanya\train\s1\Data 1 Target1No 10Cycle No 10Group Depth400m.wav,D:\Codes\Asteroid\Sanya\train\s2\Data 2 Target2No 6Cycle No 14Group Depth900m.wav,D:\Codes/Asteroid\Sanya\train\noise\noise2106.wav,58750
Data 1 Target1No 10Cycle No 10Group Depth600m_Data 2 Target2No 10Cycle No 6Group Depth1000m.wav,Data 1 Target1No 10Cycle No 10Group Depth600m_Data 2 Target2No 10Cycle No 6Group Depth1000m,D:\Codes/Asteroid\Sanya\train\mix_both\Data 1 Target1No 10Cycle No 10Group Depth600m_Data 2 Target2No 10Cycle No 6Group Depth1000m.wav,D:\Codes\Asteroid\Sanya\train\s1\Data 1 Target1No 10Cycle No 10Group Depth600m.wav,D:\Codes\Asteroid\Sanya\train\s2\Data 2 Target2No 10Cycle No 6Group Depth1000m.wav,D:\Codes/Asteroid\Sanya\train\noise\noise2235.wav,58749
Data 1 Target1No 10Cycle No 10Group Depth700m_Data 2 Target2No 5Cycle No 1Group Depth700m.wav,Data 1 Target1No 10Cycle No 10Group Depth700m_Data 2 Target2No 5Cycle No 1Group Depth700m,D:\Codes/Asteroid\Sanya\train\mix_both\Data 1 Target1No 10Cycle No 10Group Depth700m_Data 2 Target2No 5Cycle No 1Group Depth700m.wav,D:\Codes\Asteroid\Sanya\train\s1\Data 1 Target1No 10Cycle No 10Group Depth700m.wav,D:\Codes\Asteroid\Sanya\train\s2\Data 2 Target2No 5Cycle No 1Group Depth700m.wav,D:\Codes/Asteroid\Sanya\train\noise\noise2230.wav,58750
Data 1 Target1No 10Cycle No 11Group Depth1000m_Data 2 Target2No 10Cycle No 2Group Depth1000m.wav,Data 1 Target1No 10Cycle No 11Group Depth1000m_Data 2 Target2No 10Cycle No 2Group Depth1000m,D:\Codes/Asteroid\Sanya\train\mix_both\Data 1 Target1No 10Cycle No 11Group Depth1000m_Data 2 Target2No 10Cycle No 2Group Depth1000m.wav,D:\Codes\Asteroid\Sanya\train\s1\Data 1 Target1No 10Cycle No 11Group Depth1000m.wav,D:\Codes\Asteroid\Sanya\train\s2\Data 2 Target2No 10Cycle No 2Group Depth1000m.wav,D:\Codes/Asteroid\Sanya\train\noise\noise1373.wav,58749
Data 1 Target1No 10Cycle No 11Group Depth1000m_Data 2 Target2No 9Cycle No 4Group Depth1400m.wav,Data 1 Target1No 10Cycle No 11Group Depth1000m_Data 2 Target2No 9Cycle No 4Group Depth1400m,D:\Codes/Asteroid\Sanya\train\mix_both\Data 1 Target1No 10Cycle No 11Group Depth1000m_Data 2 Target2No 9Cycle No 4Group Depth1400m.wav,D:\Codes\Asteroid\Sanya\train\s1\Data 1 Target1No 10Cycle No 11Group Depth1000m.wav,D:\Codes\Asteroid\Sanya\train\s2\Data 2 Target2No 9Cycle No 4Group Depth1400m.wav,D:\Codes/Asteroid\Sanya\train\noise\noise317.wav,58749
Data 1 Target1No 10Cycle No 11Group Depth100m_Data 2 Target2No 2Cycle No 10Group Depth200m.wav,Data 1 Target1No 10Cycle No 11Group Depth100m_Data 2 Target2No 2Cycle No 10Group Depth200m,D:\Codes/Asteroid\Sanya\train\mix_both\Data 1 Target1No 10Cycle No 11Group Depth100m_Data 2 Target2No 2Cycle No 10Group Depth200m.wav,D:\Codes\Asteroid\Sanya\train\s1\Data 1 Target1No 10Cycle No 11Group Depth100m.wav,D:\Codes\Asteroid\Sanya\train\s2\Data 2 Target2No 2Cycle No 10Group Depth200m.wav,D:\Codes/Asteroid\Sanya\train\noise\noise406.wav,58750
Data 1 Target1No 10Cycle No 11Group Depth100m_Data 2 Target2No 3Cycle No 14Group Depth300m.wav,Data 1 Target1No 10Cycle No 11Group Depth100m_Data 2 Target2No 3Cycle No 14Group Depth300m,D:\Codes/Asteroid\Sanya\train\mix_both\Data 1 Target1No 10Cycle No 11Group Depth100m_Data 2 Target2No 3Cycle No 14Group Depth300m.wav,D:\Codes\Asteroid\Sanya\train\s1\Data 1 Target1No 10Cycle No 11Group Depth100m.wav,D:\Codes\Asteroid\Sanya\train\s2\Data 2 Target2No 3Cycle No 14Group Depth300m.wav,D:\Codes/Asteroid\Sanya\train\noise\noise1680.wav,58750
Data 1 Target1No 10Cycle No 11Group Depth100m_Data 2 Target2No 9Cycle No 12Group Depth200m.wav,Data 1 Target1No 10Cycle No 11Group Depth100m_Data 2 Target2No 9Cycle No 12Group Depth200m,D:\Codes/Asteroid\Sanya\train\mix_both\Data 1 Target1No 10Cycle No 11Group Depth100m_Data 2 Target2No 9Cycle No 12Group Depth200m.wav,D:\Codes\Asteroid\Sanya\train\s1\Data 1 Target1No 10Cycle No 11Group Depth100m.wav,D:\Codes\Asteroid\Sanya\train\s2\Data 2 Target2No 9Cycle No 12Group Depth200m.wav,D:\Codes/Asteroid\Sanya\train\noise\noise437.wav,58749
Data 1 Target1No 10Cycle No 11Group Depth1100m_Data 2 Target2No 10Cycle No 14Group Depth1300m.wav,Data 1 Target1No 10Cycle No 11Group Depth1100m_Data 2 Target2No 10Cycle No 14Group Depth1300m,D:\Codes/Asteroid\Sanya\train\mix_both\Data 1 Target1No 10Cycle No 11Group Depth1100m_Data 2 Target2No 10Cycle No 14Group Depth1300m.wav,D:\Codes\Asteroid\Sanya\train\s1\Data 1 Target1No 10Cycle No 11Group Depth1100m.wav,D:\Codes\Asteroid\Sanya\train\s2\Data 2 Target2No 10Cycle No 14Group Depth1300m.wav,D:\Codes/Asteroid\Sanya\train\noise\noise1705.wav,58749
Data 1 Target1No 10Cycle No 11Group Depth1100m_Data 2 Target2No 1Cycle No 5Group Depth900m.wav,Data 1 Target1No 10Cycle No 11Group Depth1100m_Data 2 Target2No 1Cycle No 5Group Depth900m,D:\Codes/Asteroid\Sanya\train\mix_both\Data 1 Target1No 10Cycle No 11Group Depth1100m_Data 2 Target2No 1Cycle No 5Group Depth900m.wav,D:\Codes\Asteroid\Sanya\train\s1\Data 1 Target1No 10Cycle No 11Group Depth1100m.wav,D:\Codes\Asteroid\Sanya\train\s2\Data 2 Target2No 1Cycle No 5Group Depth900m.wav,D:\Codes/Asteroid\Sanya\train\noise\noise1796.wav,58749
Data 1 Target1No 10Cycle No 11Group Depth1200m_Data 2 Target2No 10Cycle No 14Group Depth400m.wav,Data 1 Target1No 10Cycle No 11Group Depth1200m_Data 2 Target2No 10Cycle No 14Group Depth400m,D:\Codes/Asteroid\Sanya\train\mix_both\Data 1 Target1No 10Cycle No 11Group Depth1200m_Data 2 Target2No 10Cycle No 14Group Depth400m.wav,D:\Codes\Asteroid\Sanya\train\s1\Data 1 Target1No 10Cycle No 11Group Depth1200m.wav,D:\Codes\Asteroid\Sanya\train\s2\Data 2 Target2No 10Cycle No 14Group Depth400m.wav,D:\Codes/Asteroid\Sanya\train\noise\noise2191.wav,58750
Data 1 Target1No 10Cycle No 11Group Depth1200m_Data 2 Target2No 10Cycle No 2Group Depth600m.wav,Data 1 Target1No 10Cycle No 11Group Depth1200m_Data 2 Target2No 10Cycle No 2Group Depth600m,D:\Codes/Asteroid\Sanya\train\mix_both\Data 1 Target1No 10Cycle No 11Group Depth1200m_Data 2 Target2No 10Cycle No 2Group Depth600m.wav,D:\Codes\Asteroid\Sanya\train\s1\Data 1 Target1No 10Cycle No 11Group Depth1200m.wav,D:\Codes\Asteroid\Sanya\train\s2\Data 2 Target2No 10Cycle No 2Group Depth600m.wav,D:\Codes/Asteroid\Sanya\train\noise\noise10.wav,58750
